ID,IUPAC,Usage
162,Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp0,1
163,Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-Sp0,1
164,Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-Sp0,1
165,Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)Glc(b1-Sp0,1
166,Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)Glc(b1-Sp8,1
167,Gal(b1-4)GlcNAc(b1-6)[Gal(b1-3)]GalNAc(a1-Sp8,1
168,Gal(b1-4)GlcNAc(b1-6)[Gal(b1-3)]GalNAc(b1-Sp14,1
169,Gal(b1-4)GlcNAc(b1-Sp0,1
170,Gal(b1-4)GlcNAc(b1-Sp8,1
171,Gal(b1-4)GlcNAc(b1-Sp23,1
172,Gal(b1-4)Glc(b1-Sp0,1
173,Gal(b1-4)Glc(b1-Sp8,1
174,GlcNAc(a1-3)Gal(b1-4)GlcNAc(b1-Sp8,1
175,GlcNAc(a1-6)Gal(b1-4)GlcNAc(b1-Sp8,1
176,GlcNAc(b1-2)Gal(b1-3)GalNAc(a1-Sp8,1
177,GlcNAc(b1-6)[GlcNAc(b1-3)]GalNAc(a1-Sp8,1
178,GlcNAc(b1-6)[GlcNAc(b1-3)]GalNAc(a1-Sp14,1
179,GlcNAc(b1-6)[GlcNAc(b1-3)]Gal(b1-4)GlcNAc(b1-Sp8,1
180,GlcNAc(b1-3)GalNAc(a1-Sp8,1
181,GlcNAc(b1-3)GalNAc(a1-Sp14,1
182,GlcNAc(b1-3)Gal(b1-Sp8,1
183,GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-Sp0,1
184,GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-Sp8,1
185,GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-Sp0,1
186,GlcNAc(b1-3)Gal(b1-4)Glc(b1-Sp0,1
187,GlcNAc(b1-MDPLys,1
188,GlcNAc(b1-6)[GlcNAc(b1-4)]GalNAc(a1-Sp8,1
189,GlcNAc(b1-4)Gal(b1-4)GlcNAc(b1-Sp8,1
190,GlcNAc(b1-4)GlcNAc(b1-4)GlcNAc(b1-4)GlcNAc(b1-4)GlcNAc(b1-4)GlcNAc(b1-Sp8,1
191,GlcNAc(b1-4)GlcNAc(b1-4)GlcNAc(b1-4)GlcNAc(b1-4)GlcNAc(b1-Sp8,1
192,GlcNAc(b1-4)GlcNAc(b1-4)GlcNAc(b1-Sp8,1
193,GlcNAc(b1-6)GalNAc(a1-Sp8,1
194,GlcNAc(b1-6)GalNAc(a1-Sp14,1
195,GlcNAc(b1-6)Gal(b1-4)GlcNAc(b1-Sp8,1
196,Glc(a1-4)Glc(b1-Sp8,1
197,Glc(a1-4)Glc(a1-Sp8,1
198,Glc(a1-6)Glc(a1-6)Glc(b1-Sp8,1
199,Glc(b1-4)Glc(b1-Sp8,1
200,Glc(b1-6)Glc(b1-Sp8,1
202,GlcA(a1-Sp8,1
203,GlcA(b1-Sp8,1
204,GlcA(b1-3)Gal(b1-Sp8,1
205,GlcA(b1-6)Gal(b1-Sp8,1
206,KDN(a2-3)Gal(b1-3)GlcNAc(b1-Sp0,1
207,KDN(a2-3)Gal(b1-4)GlcNAc(b1-Sp0,1
208,Man(a1-2)Man(a1-2)Man(a1-3)Man(a1-Sp9,1
209,Man(a1-2)Man(a1-6)[Man(a1-2)Man(a1-3)]Man(a1-Sp9,1
210,Man(a1-2)Man(a1-3)Man(a1-Sp9,1
211,Man(a1-6)[Man(a1-2)Man(a1-3)]Man(a1-6)[Man(a1-2)Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc(b1-Sp12,1
212,Man(a1-2)Man(a1-6)[Man(a1-3)]Man(a1-6)[Man(a1-2)Man(a1-2)Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc(b1-Sp12,1
213,Man(a1-2)Man(a1-6)[Man(a1-2)Man(a1-3)]Man(a1-6)[Man(a1-2)Man(a1-2)Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc(b1-Sp12,1
214,Man(a1-6)[Man(a1-3)]Man(a1-Sp9,1
215,Man(a1-2)Man(a1-2)Man(a1-6)[Man(a1-3)]Man(a1-Sp9,1
216,Man(a1-6)[Man(a1-3)]Man(a1-6)[Man(a1-2)Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc(b1-Sp12,1
217,Man(a1-6)[Man(a1-3)]Man(a1-6)[Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc(b1-Sp12,1
218,Man(b1-4)GlcNAc(b1-Sp0,1
219,Neu5Ac(a2-3)Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp0,1
220,(3S)Gal(b1-4)[Fuc(a1-3)](6S)GlcNAc(b1-Sp8,1
221,Fuc(a1-2)(6S)Gal(b1-4)GlcNAc(b1-Sp0,1
222,Fuc(a1-2)Gal(b1-4)(6S)GlcNAc(b1-Sp8,1
223,Fuc(a1-2)(6S)Gal(b1-4)(6S)Glc(b1-Sp0,1
224,Neu5Ac(a2-3)Gal(b1-3)GalNAc(a1-Sp8,1
225,Neu5Ac(a2-3)Gal(b1-3)GalNAc(a1-Sp14,1
226,GalNAc(b1-4)[Neu5Ac(a2-8)Neu5Ac(a2-8)Neu5Ac(a2-8)Neu5Ac(a2-3)]Gal(b1-4)Glc(b1-Sp0,1
227,GalNAc(b1-4)[Neu5Ac(a2-8)Neu5Ac(a2-8)Neu5Ac(a2-3)]Gal(b1-4)Glc(b1-Sp0,1
228,Neu5Ac(a2-8)Neu5Ac(a2-8)Neu5Ac(a2-3)Gal(b1-4)Glc(b1-Sp0,1
229,GalNAc(b1-4)[Neu5Ac(a2-8)Neu5Ac(a2-3)]Gal(b1-4)Glc(b1-Sp0,1
230,Neu5Ac(a2-8)Neu5Ac(a2-8)Neu5Ac(a1-Sp8,1
231,Neu5Ac(a2-3)(6S)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp8,1
232,GalNAc(b1-4)[Neu5Ac(a2-3)]Gal(b1-4)GlcNAc(b1-Sp0,1
233,GalNAc(b1-4)[Neu5Ac(a2-3)]Gal(b1-4)GlcNAc(b1-Sp8,1
234,GalNAc(b1-4)[Neu5Ac(a2-3)]Gal(b1-4)Glc(b1-Sp0,1
235,Neu5Ac(a2-3)Gal(b1-3)GalNAc(b1-4)[Neu5Ac(a2-3)]Gal(b1-4)Glc(b1-Sp0,1
236,Neu5Ac(a2-6)[Neu5Ac(a2-3)]GalNAc(a1-Sp8,1
237,Neu5Ac(a2-3)GalNAc(a1-Sp8,1
238,Neu5Ac(a2-3)GalNAc(b1-4)GlcNAc(b1-Sp0,1
239,Neu5Ac(a2-3)Gal(b1-3)(6S)GlcNAc(a1-Sp8,1
240,Neu5Ac(a2-3)Gal(b1-3)[Fuc(a1-4)]GlcNAc(b1-Sp8,1
241,Neu5Ac(a2-3)Gal(b1-3)[Fuc(a1-4)]GlcNAc(b1-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp0,1
242,Neu5Ac(a2-3)Gal(b1-4)[Neu5Ac(a2-3)Gal(b1-3)]GlcNAc(b1-Sp8,1
243,Neu5Ac(a2-3)Gal(b1-3)(6S)GalNAc(a1-Sp8,1
244,Neu5Ac(a2-6)[Neu5Ac(a2-3)Gal(b1-3)]GalNAc(a1-Sp8,1
